item_a,item_b,correlation,partition
i crave the experience of great art.,i like to solve complex problems.,0.080018607,dev
i like to solve complex problems.,i tell people about it when i'm irritated.,-0.02993318,dev
i have traveled alone in a foreign country.,i am not really interested in others.,-0.034922349,dev
i adjust easily.,i shoot my mouth off.,-0.006941643,dev
i do too little work.,i know how to captivate people.,-0.157236729,dev
i pay too little attention to details.,i stumble over my words.,0.184635295,dev
i have a rich vocabulary.,i like to visit new places.,0.076452723,dev
i am usually a patient person.,i complete my duties as soon as possible.,0.062040799,dev
i don't have a soft side.,i feel attacked by others.,0.036335783,dev
i am good at predicting how someone will feel.,i make it a point of listening to the news each morning.,0.053418565,dev
i face danger confidently.,i know how to captivate people.,0.351557499,dev
i feel lucky most of the time.,i will do anything for others.,0.074460779,dev
i pretend to be concerned for others.,i rarely cry during sad movies.,0.202854945,dev
i express childlike joy.,i waste my time.,-0.082047087,dev
i do the opposite of what is asked.,i don't consider myself religious.,0.072252256,dev
i believe that there is never an excuse for lying.,i will do anything for others.,0.177455287,dev
i'm concerned with how others evaluate my own sexual beliefs and behaviors.,i feel good about the way i express my own sexual needs and desires.,-0.282464669,dev
"most people who get ahead in the world lead clean, moral lives.",most people forget more easily the death of their parents than the loss of their property.,-0.138670142,dev
i adhere to common superstitions.,i make it a point of listening to the news each morning.,-0.018201893,dev
"i prefer to socialize 1 on 1, than with a group.",i never leave the door to my room open.,0.094341952,dev
i am deeply moved by others' misfortunes.,i try to forgive and forget.,0.18154266,dev
i am an average person.,i am grateful to a wide variety of people.,-0.000258593,dev
i am not easily bothered by things.,i am quiet around strangers.,-0.066135849,dev
seeing people cry doesn't really upset me.,i adhere to common superstitions.,0.169008512,dev
i have trouble guessing how others will react.,i begin to panic when there is danger.,0.236394707,dev
i feel that life has no meaning.,i rarely cry during sad movies.,0.153064129,dev
i know the answers to many questions.,i see myself as a good leader.,0.188586746,dev
i face danger confidently.,i cheat on people who have trusted me.,0.049255245,dev
i keep my cool.,i tell people about it when i'm irritated.,-0.125714881,dev
i get to work at once.,i would like to have more power than other people.,0.016323978,dev
i am not always honest with myself.,i will do anything for others.,0.046422882,dev
the people who disagree with me may well turn out to be right.,i can call on my friends whenever i need them.,0.159482729,dev
i cheat on people who have trusted me.,i face danger confidently.,-0.011833199,dev
i think about myself a lot.,i sometimes step back (in my mind) in order to examine myself from a distance.,0.234548789,dev
i am depressed about the sexual aspects of my life.,i have a desire to be sexually active.,0.071448043,dev
i am a very private person.,i enjoy thinking about things.,0.156656041,dev
i believe that people are essentially evil.,"i enjoy feeling ""close to the earth"".",-0.18020375,dev
i am not bothered by disorder.,i act impulsively when something is bothering me.,0.063444478,dev
i rarely complain.,i tell people about it when i'm irritated.,-0.212191691,dev
i pretend to be concerned for others.,i don't finish the things that i start.,0.10440414,dev
i have a desire to be sexually active.,"the sexual aspects of my life are satisfactory, compared to most people's.",0.148733217,dev
i can call on my friends whenever i need them.,i sometimes step back (in my mind) in order to examine myself from a distance.,0.046057063,dev
i rarely complain.,i begin to panic when there is danger.,-0.193112573,dev
people should behave in ways that are morally correct.,"when reading, i enjoy when the writer takes a sidetrack to say something beautiful or meaningful.",-0.008398963,dev
i get started quickly on doing a job.,i seldom get lost in thought.,0.169131149,dev
i swim against the current.,i cheat on people who have trusted me.,0.013699265,dev
i am grateful to a wide variety of people.,it takes me time to get over my shyness in new situations.,-0.001247046,dev
i enjoy the beauty of nature.,i have a rich vocabulary.,0.165592567,dev
most people can be manipulated.,i'm constantly thinking about my reasons for doing things.,-0.089500553,dev
i must get away from all uncertain situations.,i sometimes step back (in my mind) in order to examine myself from a distance.,-0.057144823,dev
i never splurge.,i would like to have more power than other people.,-0.052786887,dev
i believe that people are essentially evil.,i have trouble guessing how others will react.,0.117033044,dev
i am not always honest with myself.,i would be good at rescuing people from a burning building.,-0.013253168,dev
i laugh my way through life.,i pretend to be concerned for others.,-0.042032752,dev
i get started quickly on doing a job.,i know that anyone who tries can get a job.,0.228386999,dev
avoid direct conflict with others because they may be useful in the future.,i feel nervous when i speak in front of a group.,0.136664635,dev
i adapt easily to new situations.,i do too little work.,-0.058374529,dev
i act impulsively when something is bothering me.,i complete my duties as soon as possible.,-0.204851243,dev
i do dangerous things.,i rarely lose my composure.,-0.05563577,dev
i feel threatened easily.,i try to forgive and forget.,-0.117299342,dev
i avoid difficult reading material.,i learn things slowly.,0.292792711,dev
i act or feel in a way that does not fit me.,i don't have a soft side.,0.081942975,dev
i cheer people up.,i am not really interested in others.,-0.347654502,dev
i don't have a soft side.,i never splurge.,0.069902111,dev
i am deeply moved by others' misfortunes.,i prefer to be alone.,-0.146179591,dev
i find it difficult to organize tasks and activities.,i don't like to spend money.,0.011035413,dev
i am more creative than most people.,i frequently catch myself daydreaming.,0.248914142,dev
avoid direct conflict with others because they may be useful in the future.,i find that a consistent routine enables me to enjoy life more.,0.056254641,dev
i never leave the door to my room open.,i really like dancing.,-0.125901665,dev
i tell people about it when i'm irritated.,i want to be liked.,0.048309451,dev
i keep my cool.,i know how to captivate people.,0.140223,dev
i am hard to satisfy.,i let things proceed at their own pace.,-0.175407554,test
one should always look ahead so as to avoid surprises.,i fell alive and vital.,-0.138937065,test
"i find myself in the same kinds of trouble, time after time.",i love children.,-0.074001071,test
"i find myself in the same kinds of trouble, time after time.",i keep in the background.,0.120310593,test
i was a better than average student when i was in school.,i have never hated anyone.,0.034365354,test
i start conversations.,i have little to say.,-0.455828857,test
i don't strive for elegance in my appearance.,i respect authority.,-0.064037617,test
i am a physical coward.,i readily overcome setbacks.,-0.246183434,test
i rarely put people under pressure.,i am able to come up with new and different ideas.,0.03031769,test
i admire a really clever scam.,i take risks.,0.15936727,test
i dislike ambiguous situations.,one should always look ahead so as to avoid surprises.,0.231742381,test
i formulate ideas clearly.,i have a strong personality.,0.28646127,test
i keep in the background.,i try to avoid complex people.,0.149373754,test
i weigh the pros against the cons.,i love to think up new ways of doing things.,0.173030913,test
i worry about what people think of me.,i have a strong personality.,-0.252452652,test
i get back at people who insult me.,i grumble about things.,0.330879713,test
"""flexibility in thinking"" is another name for being ""wishy-washy"".",i fell alive and vital.,-0.050362892,test
i find that it takes a lot to make me feel angry at someone.,i rarely show my anger.,0.539627631,test
i am easily disturbed.,i like to do frightening things.,-0.13497238,test
no one knows all the essential truths about the central issues in life.,i find that a well-ordered life with regular hours makes my life tedious.,0.077920219,test
i am interested in science.,i easily resist temptations.,0.004200601,test
i get back at people who insult me.,i like to take it easy.,-0.031368276,test
someday i will probably realize my present ideas about the big issues are wrong.,i remain unaffected when someone close to me is happy.,-0.035445675,test
i take an interest in other people's lives.,i am considered to be a wise person.,0.09227236,test
i take an interest in other people's lives.,i keep my thoughts to myself.,-0.188947862,test
i try to avoid complex people.,i don't enjoy being the object of jokes.,0.067534816,test
i find that it takes a lot to make me feel angry at someone.,i like to be viewed as proper and conventional.,0.165550445,test
i quickly lose interest in the tasks i start.,i seek to influence others.,-0.100258893,test
i am able to fix electrical-wiring problems.,i don't call attention to myself.,0.022940659,test
thinking about the sexual aspects of my life often leaves me with an uneasy feeling.,"if just i look out for myself, then i will be able to avoid any sexual problems in the future.",-0.037035662,test
i love children.,i rarely show my anger.,0.009547294,test
i am a physical coward.,i love children.,-0.164813976,test
i demand quality.,i see that rules are observed.,0.159070509,test
i demand quality.,i am hard to satisfy.,0.299390723,test
i change my mood a lot.,i take risks.,0.000988999,test
i do things that i later regret.,i would love to explore strange places.,0.036136829,test
i have a good word for everyone.,i am more capable than most others.,-0.006823286,test
i have a good word for everyone.,i like to do frightening things.,0.040078837,test
i switch my loyalties when i feel like it.,i am often worried by things that i said or did.,0.096260742,test
i am interested in science.,i hate to seem pushy.,0.131793945,test
i dislike having authority over others.,i often forget to put things back in their proper place.,0.067825031,test
i don't like to draw attention to myself.,i am more capable than most others.,-0.139391804,test
i rarely enjoy being with people.,i am seldom bothered by the apparent suffering of strangers.,0.190173873,test
i feel comfortable with myself.,i readily overcome setbacks.,0.355930379,test
i find that it takes a lot to make me feel angry at someone.,i enjoy being part of a group.,0.12004736,test
i believe that people should fend for themselves.,i try to avoid complex people.,0.129152365,test
i never give up.,i readily overcome setbacks.,0.391887345,test
i prefer to just let things happen.,i am more capable than most others.,-0.119192734,test
i enjoy being part of a group.,i quickly lose interest in the tasks i start.,-0.155012617,test
i feel comfortable with myself.,i seek danger.,0.154051424,test
i return extra change when a cashier makes a mistake.,i am not easily disturbed by events.,-0.088683288,test
i get back at people who insult me.,i have great stamina.,0.078456767,test
i find that it takes a lot to make me feel angry at someone.,i think quickly.,0.089547575,test
i prefer practical jokes to verbal humour.,i can't relax until i have done everything i had planned to do that day.,0.022396305,test
"if just i look out for myself, then i will be able to avoid any sexual problems in the future.",i'm not afraid of becoming sexually active.,0.008244752,test
i keep in the background.,i need protection.,0.116311853,test
"""flexibility in thinking"" is another name for being ""wishy-washy"".",someday i will probably realize my present ideas about the big issues are wrong.,-0.005204713,test
no one knows all the essential truths about the central issues in life.,i lead a purposeful and meaningful life.,-0.171187271,test
i love to hear about other countries and cultures.,i often have the feeling that others laugh or talk about me.,-0.03034748,test
i have little to say.,i would love to explore strange places.,-0.121002432,test
i believe that people should fend for themselves.,i like to take it easy.,0.0471322,test
i believe that most questions have one right answer.,i love to chat.,-0.032648886,test
"flexibility is a real virtue in thinking, since you may well be wrong.",someday i will probably realize my present ideas about the big issues are wrong.,0.038853928,test
i need protection.,i readily overcome setbacks.,-0.275253358,test
i start conversations.,i love to think up new ways of doing things.,0.241147081,test
i like to do frightening things.,i need protection.,-0.131061384,test
i am not bothered by messy people.,i finish what i start.,-0.226083253,test
i admire a really clever scam.,i am sensitive to the needs of others.,-0.191171207,test
the sexual aspects of my life are personally gratifying to me.,i am fearful of engaging sexual activity.,-0.443706391,test
i love flowers.,i cannot imagine lying or cheating.,0.122327196,test
i become irritated when someone cries.,i get embarrassed very easily.,0.100000003,test
i find that it takes a lot to make me feel angry at someone.,i pay my bills on time.,0.122930486,test
"i find myself in the same kinds of trouble, time after time.",i play a role in order to impress people.,0.245074285,test
i try to avoid complex people.,i would not enjoy being a famous celebrity.,-0.033594803,test
i love to chat.,i stick to my chosen path.,0.042248967,test
i push myself very hard to succeed.,i use difficult words.,0.041939964,test
i believe that people should fend for themselves.,i get back at people who insult me.,0.311435497,test
i habitually blow my chances.,i stick to my chosen path.,-0.154647539,test
i let things proceed at their own pace.,i am often worried by things that i said or did.,-0.009352074,test
i try to avoid complex people.,i behave in unusual and strange ways.,-0.107260724,test
i often make last-minute plans.,i push myself very hard to succeed.,-0.19991001,test
i formulate ideas clearly.,i would not enjoy being a famous celebrity.,-0.068190635,test
i feel little concern for others.,i use difficult words.,-0.040283304,test
i don't like to draw attention to myself.,i pay my bills on time.,0.092787408,test
i accept people as they are.,i am seldom bothered by the apparent suffering of strangers.,-0.168411462,test
i admire a really clever scam.,i am not easily disturbed by events.,0.194551211,test
i reveal little about myself.,i stick to my chosen path.,-0.000791993,test
i take things as they come.,i cannot imagine lying or cheating.,0.006011749,test
i have to psych myself up before i am brave enough to make a phone call.,i find it very hard to tell people i find them attractive.,0.307896089,test
i steal things.,i am not easily disturbed by events.,0.115786928,test
i change my mood a lot.,i enjoy being part of a group.,0.014854136,test
i like to take it easy.,i respect authority.,0.027413896,test
i believe in the importance of art.,i play a role in order to impress people.,0.036817275,test
i am the first to act.,i try to avoid complex people.,-0.04686431,test
i don't like to draw attention to myself.,i seek to influence others.,-0.194082445,test
i rarely put people under pressure.,i would love to explore strange places.,0.045411924,test
i am filled with doubts about things.,i neglect my duties.,0.328251204,test
i admire a really clever scam.,i respect authority.,-0.21573494,test
i often have the feeling that others laugh or talk about me.,i am able to fix electrical-wiring problems.,-0.083864247,test
i enjoy tackling problems that are complex enough to be ambiguous.,i am not really interested in how other people feel.,0.004638389,test
i am interested in science.,i need protection.,-0.106978377,test
i get things done quickly.,i seek danger.,0.017153684,test
inventory supplies using a hand-held computer.,keep shipping and receiving records.,0.567689497,test
i am easily disturbed.,i return extra change when a cashier makes a mistake.,-0.02098647,test
i do things that i later regret.,i steal things.,0.15049109,test
i believe in the importance of art.,i love to chat.,0.05415485,test
i am seldom bothered by the apparent suffering of strangers.,i rarely put people under pressure.,-0.063465533,test
i like a leisurely lifestyle.,i see that rules are observed.,0.020161289,test
i do not hesitate to ask for what i want in a sexual relationship.,i will probably experience some sexual problems in the future.,-0.223145743,test
i believe in the importance of art.,i formulate ideas clearly.,0.083663409,test
i prefer to just let things happen.,i am hard to satisfy.,-0.133425644,test
i do crazy things.,i am considered to be a wise person.,0.0165118,test
i like to do frightening things.,i like to plan ahead.,-0.045177299,test
i pay my bills on time.,i rarely enjoy being with people.,-0.145346116,test
i am easily discouraged.,i work too much.,-0.169484452,test
i have great stamina.,i work too much.,0.252929066,test
i hate to seem pushy.,i have little to say.,0.175300116,test
supervise the activities of children at a camp.,inventory supplies using a hand-held computer.,0.1157157,test
i often forget to put things back in their proper place.,i seek to influence others.,-0.067202217,test
i admire a really clever scam.,i am a physical coward.,-0.029938967,test
i grumble about things.,i have a strong personality.,0.059833315,test
i change my mood a lot.,i habitually blow my chances.,0.299870434,test
thinking about the sexual aspects of my life often leaves me with an uneasy feeling.,i'm not afraid of becoming sexually active.,-0.424491419,test
i get things done quickly.,i have a good word for everyone.,0.058721264,test
i believe that we coddle criminals too much.,i feel that my life lacks direction.,0.011771619,test
anyone who is able and willing to work hard has a good chance of succeeding.,"conventional, uncreative.",0.023191686,test
i mostly listen to people in conversations.,i hate shopping.,0.118136179,test
i feel short-changed in life.,i quickly lose interest in the tasks i start.,0.292342877,test
i start conversations.,i often forget to put things back in their proper place.,-0.039135469,test
i like to do frightening things.,i love children.,-0.004637256,test
i don't strive for elegance in my appearance.,i am seldom bothered by the apparent suffering of strangers.,0.047278395,test
i am more capable than most others.,i take an interest in other people's lives.,-0.023665507,test
i habitually blow my chances.,i rarely put people under pressure.,0.103490633,test
i don't like to draw attention to myself.,i play a role in order to impress people.,-0.204476687,test
i never give up.,i cannot imagine lying or cheating.,0.257136724,test
i am seldom bothered by the apparent suffering of strangers.,i demand quality.,0.02298607,test
work in a biology lab.,keep shipping and receiving records.,0.095957079,test
i like to read.,i often forget to put things back in their proper place.,-0.013228316,test
i believe in the importance of art.,i feel comfortable with myself.,0.071460431,test
i believe in the importance of art.,i find that it takes a lot to make me feel angry at someone.,0.04337699,test
i get back at people who insult me.,i steal things.,0.243521591,test
i misrepresent the facts.,i return extra change when a cashier makes a mistake.,-0.155386539,test
i rarely show my anger.,i think quickly.,0.004611986,test
i get back at people who insult me.,i rarely enjoy being with people.,0.109022818,test
i love flowers.,i keep my thoughts to myself.,-0.066411222,test
i can talk others into doing things.,i finish what i start.,0.10860597,test
i believe that we coddle criminals too much.,i use difficult words.,-0.129010465,test
i show my feelings.,i enjoy silence.,-0.09935188,test
i am hard to satisfy.,i take things as they come.,-0.160193534,test
i demand quality.,i smile a lot.,-0.034803922,test
i pay my bills on time.,i think quickly.,0.083479185,test
i have great stamina.,i smile a lot.,0.160807545,test
i have a sharp tongue.,i need protection.,-0.100323809,test
i misrepresent the facts.,i neglect my duties.,0.422974615,test
i switch my loyalties when i feel like it.,i would not enjoy being a famous celebrity.,-0.00481657,test
i need protection.,i use difficult words.,-0.100884856,test
i am not easily disturbed by events.,i like a leisurely lifestyle.,0.007906271,test
"flexibility is a real virtue in thinking, since you may well be wrong.",it's wise to keep track of information that you can use against people later.,-0.12109984,test
i am willing to try anything once.,i am often worried by things that i said or did.,-0.120531586,test
i am not bothered by messy people.,i play a role in order to impress people.,0.069429335,test
i smile a lot.,i accept people as they are.,0.213231688,test
i do things that i later regret.,i rarely enjoy being with people.,0.125807807,test
i love children.,i steal things.,-0.096949303,test
i wanted to be an astronaut at one point.,i am easily disturbed.,-0.028213479,test
i let things proceed at their own pace.,i love children.,-0.003609052,test
handle customers' bank transactions.,"conventional, uncreative.",0.142085463,test
i avoid situations that are too complicated for me to easily understand.,i remain unaffected when someone close to me is happy.,0.322505883,test
i have great stamina.,i accept people as they are.,0.035780565,test
i find that it takes a lot to make me feel angry at someone.,i am not easily disturbed by events.,0.17333838,test
i will not probe deeply into a subject.,i continue until everything is perfect.,-0.082560461,train
i am disappointed about the quality of my sex life.,i have positive feelings about the way i approach my own sexual needs and desires.,-0.448057204,train
i am always prepared.,i will not probe deeply into a subject.,-0.127611692,train
i feel that people are against me.,i would hate to be considered odd or strange.,0.11349464,train
it is hard to get ahead without cutting corners here and there.,"anxious, easily upset.",0.024131148,train
i am wary of others.,i keep others at a distance.,0.400320725,train
"when i am actively interested in something, it takes a great deal to interrupt me.","there are so many things we have not discovered yet, nobody should be absolutely certain his beliefs are right.",0.055147775,train
i express myself easily.,i postpone decisions.,-0.182874366,train
i feel that people are against me.,i obstruct others' plans.,0.390056687,train
i think about sex more than anything else.,i have the capability to take care of my own sexual needs and desires.,0.037813442,train
i am full of ideas.,i don't know why i do some of the things i do.,-0.088697719,train
i can't stand being contradicted.,i feel healthy and vibrant most of the time.,-0.08593619,train
i feel at ease with people.,i want everything to add up perfectly.,-0.108396688,train
i like to be very organised in day to day life and often make lists of the chores i have to do.,"if there was a problem with the electrical wiring in my home, i'd be able to fix it myself.",-0.387051228,train
"i am motivated to avoid engaging in 'risky' (i.e., unprotected) sexual behavior.",i feel unhappy about my sexual experiences.,0.028430899,train
it frustrates me not having all the information i need.,i always want to know what the future has in store for me.,0.203136083,train
i am relaxed most of the time.,i do things by the book.,-0.13896333,train
i worry about being embarrassed.,i prefer to participate fully rather than view life from the sidelines.,-0.233187518,train
i have a soft heart.,i sympathize with others' feelings.,0.577987418,train
i am not good at deceiving other people.,i am an original thinker.,-0.004114265,train
i prefer not to show a partner how i feel deep down.,i worry a lot about my relationships.,0.051292913,train
i am afraid of becoming sexual involved with another person.,i am proud of the way i deal with and handle my own sexual desires and needs.,-0.320231374,train
people often tell me that i went too far in driving my point home in a discussion.,"if i see a stranger in a group, i think that it is up to them to make an effort to join in.",0.043356854,train
i hate being the center of attention.,i try to follow the rules.,0.138719044,train
"when i am participating in an activity, i tend to get so involved that i lose track of time.",i am absolutely certain that my ideas about the fundamental issues in life are correct.,-0.094538231,train
i am usually active and full of energy.,i cry during movies.,0.009605129,train
play a musical instrument.,compute and record statistical and other numerical data.,0.041724812,train
i am very aware of my sexual motivations and desires.,i am quick to notice other people's reactions to the sexual aspects of my own life.,0.173090413,train
i consider myself an average person.,i make plans and stick to them.,0.020447336,train
i make plans and stick to them.,i try to understand myself.,0.01276214,train
i hold a grudge.,i love to reflect on things.,-0.082275895,train
i keep others at a distance.,i like to be thought of as a normal kind of person.,-0.024754613,train
i dream most nights.,i don't consciously work out the rules of social situations.,-0.485220956,train
i look at the bright side of life.,i react slowly.,-0.144081008,train
i don't use harsh language.,i am often in a bad mood.,-0.194098705,train
i do things without thinking of the consequences.,i recover quickly from stress and illness.,-0.026853051,train
"not only would i be a good sexual partner, but it's quite important to me that i be a good sexual partner.","if i am careful, then i will be able to prevent myself from having any sexual problems.",0.076800992,train
i am mainly interested in money.,i avoid company.,0.060399522,train
friends usually talk to me about their problems as they say that i am very understanding.,i am fascinated by how machines work.,-0.127133948,train
i act like different people in different situations.,i like to begin new things.,-0.014623546,train
"when i listen to a piece of music, i always notice the way it's structured.","if i had a collection (e.g. cds, coins, stamps), it would be highly organised.",0.187123009,train
i am comfortable in unfamiliar situations.,i am good at many things.,0.31374159,train
i am interested in people.,i would be afraid to give a speech in public.,-0.080065525,train
i consider myself an average person.,i seek status.,-0.101580896,train
i do not care about sports.,i laugh a lot.,-0.079897958,train
i have some bad habits.,i speak softly.,-0.045576228,train
i enjoy intellectual games.,i see myself as an average person.,-0.132491412,train
test the quality of parts before shipment.,study whales and other types of marine life.,0.106362559,train
i don't talk a lot.,i think that all will be well.,-0.086153998,train
i rebel against authority.,i am happy with my life.,-0.145794466,train
i feel that most people can't be trusted.,i immediately feel sad when hearing of an unhappy event.,-0.173169798,train
"my opinions and beliefs fit together perfectly to make a crystal-clear ""picture"" of things.","whatever it takes, you must get the important people on your side.",0.196337174,train
"there are so many things we have not discovered yet, nobody should be absolutely certain his beliefs are right.",i have never discovered a system of beliefs that explains everything to my satisfaction.,0.350346437,train
i am quick to judge others.,i don't think that i'm better than other people.,-0.3495095,train
i'd rather run my own business and make my own mistakes than listen to someone else's orders.,i care a lot about how i present myself to others.,0.010506602,train
i listen to my conscience.,i try to impress others.,-0.063339524,train
i don't see the consequences of things.,i like to do things for others.,-0.151755262,train
i can easily work out what another person might want to talk about.,"i often make resolutions, but find it hard to stick to them.",0.121487061,train
i prefer familiar situations to new ones.,you should wait for the right time to get back at people.,0.024173325,train
i can say things beautifully.,i lack the talent for influencing people.,-0.385298074,train
i mess things up.,i want to be left alone.,0.161970851,train
i would rather spend money than save it.,i panic easily.,0.018443177,train
i do not like to visit museums.,i act without consulting others.,0.082157377,train
i would hate to be considered odd or strange.,i am easily annoyed.,0.052069983,train
i act like different people in different situations.,"i want everything to be ""just right"".",0.019399466,train
i hold a grudge.,i shout or scream when i'm angry.,0.221383164,train
i seldom experience sudden intuitive insights.,i take no time for others.,0.111803417,train
i am likely to show off if i get the chance.,i show my feelings when i'm happy.,0.105196914,train
i am often in a bad mood.,i am quick to judge others.,0.306244457,train
i often express doubts.,i show my feelings when i'm happy.,-0.068625379,train
i find it silly for people to cry out of happiness.,i generally pay attention to my inner feelings.,-0.272027615,train
i dislike new foods.,i stop when work becomes too difficult.,0.132054768,train
i am comfortable in unfamiliar situations.,i get easily agitated.,-0.19826873,train
i am interested in people.,i shirk my duties.,-0.107786904,train
i obstruct others' plans.,i rarely feel depressed.,0.013408933,train
i am nice to people i should be angry at.,i am often in a bad mood.,-0.179407796,train
i am considered to be kind of eccentric.,i can't stand being contradicted.,0.070331345,train
i always know what i am doing.,i usually enjoy being with people.,0.071935948,train
i detect mistakes.,i feel that people have a hard time understanding me.,0.079038301,train
i think that all will be well.,i don't think it's important to socialize with others.,-0.160175289,train
i usually like to spend my free time with people.,i pay attention to details.,-0.015151605,train
i criticize others' shortcomings.,i make plans and stick to them.,-0.102479257,train
i am quick to judge others.,i suspect that my facial expressions give me away when i feel sad.,0.021418736,train
i expect that the sexual aspects of my life will be positive and rewarding in the future.,i am competent enough to make sure that my sexual needs are fulfilled.,0.402902231,train
i am not afraid of providing criticism.,i enjoy being part of a loud crowd.,0.059245839,train
i pay attention to details.,i am out for my own personal gain.,0.035359748,train
i rebel against authority.,i consider myself an average person.,-0.21192504,train
i am out for my own personal gain.,i often need help.,-0.028223002,train
i follow a schedule.,i talk a lot.,0.037736098,train
i am the last to laugh at a joke.,i enjoy my privacy.,0.032007864,train
i seldom daydream.,i amuse my friends.,-0.071924912,train
i find fault with everything.,i rarely feel depressed.,-0.297152059,train
i can keep a conversation going with anyone about anything.,i am hesitant to give suggestions.,-0.325058208,train
i am open about my feelings.,i can't stand weak people.,-0.121875087,train
my social relationships are supportive and rewarding.,"if i had to list everything that i felt grateful for, it would be a very long list.",0.29552817,train
i immediately feel sad when hearing of an unhappy event.,i don't attempt to conform to society's expectations.,-0.115743214,train
